Drive name:	MOTOR
Drive model:	ACS880-01-034A-5 (811)
Firmware:	AINF6 v2.90
Group	GroupName	Index	Name	Value	ValueName	Min	Max	Unit	
10	Standard DI, RO	14	DI5 OFF delay	0		0	3000	s
10	Standard DI, RO	15	DI6 ON delay	0		0	3000	s
10	Standard DI, RO	16	DI6 OFF delay	0		0	3000	s
10	Standard DI, RO	21	RO status	0		0	65535	NoUnit
10	Standard DI, RO	24	RO1 source	0	Not energized	0	4294967295	NoUnit
10	Standard DI, RO	25	RO1 ON delay	0		0	3000	s
10	Standard DI, RO	26	RO1 OFF delay	0		0	3000	s
10	Standard DI, RO	27	RO2 source	7	Running	0	4294967295	NoUnit
10	Standard DI, RO	28	RO2 ON delay	0		0	3000	s
10	Standard DI, RO	29	RO2 OFF delay	0		0	3000	s
10	Standard DI, RO	30	RO3 source	15	Fault (-1)	0	4294967295	NoUnit
10	Standard DI, RO	31	RO3 ON delay	0		0	3000	s
10	Standard DI, RO	32	RO3 OFF delay	0		0	3000	s
10	Standard DI, RO	51	DI filter time	10		0.3	100	ms
10	Standard DI, RO	99	RO/DIO control word	0		0	65535	NoUnit
11	Standard DIO, FI, FO	1	DIO status	0		0	65535	NoUnit
11	Standard DIO, FI, FO	2	DIO delayed status	0		0	65535	NoUnit
11	Standard DIO, FI, FO	5	DIO1 function	0	Output			NoUnit
11	Standard DIO, FI, FO	6	DIO1 output source	2	Ready run	0	4294967295	NoUnit
11	Standard DIO, FI, FO	7	DIO1 ON delay	0		0	3000	s
11	Standard DIO, FI, FO	8	DIO1 OFF delay	0		0	3000	s
11	Standard DIO, FI, FO	9	DIO2 function	0	Output			NoUnit
11	Standard DIO, FI, FO	10	DIO2 output source	7	Running	0	4294967295	NoUnit
11	Standard DIO, FI, FO	11	DIO2 ON delay	0		0	3000	s
11	Standard DIO, FI, FO	12	DIO2 OFF delay	0		0	3000	s
11	Standard DIO, FI, FO	38	Freq in 1 actual value	0		0	16000	Hz
11	Standard DIO, FI, FO	39	Freq in 1 scaled	0		-32768	32767	NoUnit
11	Standard DIO, FI, FO	42	Freq in 1 min	0		0	16000	Hz
11	Standard DIO, FI, FO	43	Freq in 1 max	16000		0	16000	Hz
11	Standard DIO, FI, FO	44	Freq in 1 at scaled min	0		-32768	32767	NoUnit
11	Standard DIO, FI, FO	45	Freq in 1 at scaled max	1800		-32768	32767	NoUnit
11	Standard DIO, FI, FO	54	Freq out 1 actual value	0		0	16000	Hz
11	Standard DIO, FI, FO	55	Freq out 1 source	1	Motor speed used	0	4294967295	NoUnit
11	Standard DIO, FI, FO	58	Freq out 1 src min	0		-32768	32767	NoUnit
